City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
254,Sao Sebastiao,BR,2021-04-21 07:25:03,-23.76,-45.4097,67.55,89,54,4.9
255,Zhigansk,RU,2021-04-21 07:26:27,66.7697,123.3711,18.43,72,100,3.78
256,Zhicheng,CN,2021-04-21 07:23:14,30.2956,111.5047,62.01,93,100,1.57
257,Atar,MR,2021-04-21 07:26:27,20.5169,-13.0499,73.27,21,5,10.38
258,Faanui,PF,2021-04-21 07:26:28,-16.4833,-151.75,81.81,73,20,10.07
259,Georgetown,MY,2021-04-21 07:26:28,5.4112,100.3354,91.99,70,20,9.22
260,Causapscal,CA,2021-04-21 07:26:29,48.3542,-67.227,35.28,82,100,5.99
261,Fort Nelson,CA,2021-04-21 07:26:29,58.8053,-122.7002,53.6,30,40,4.61
262,Yulara,AU,2021-04-21 07:26:29,-25.2406,130.9889,80.6,14,10,5.75
263,Tura,IN,2021-04-21 07:26:30,25.5198,90.2201,94.68,32,6,6.02
264,Alyangula,AU,2021-04-21 07:26:30,-13.8483,136.4192,87.8,70,40,4.61
265,Ulladulla,AU,2021-04-21 07:26:31,-35.35,150.4667,62.01,55,43,9.22
266,Mogadishu,SO,2021-04-21 07:26:31,2.0371,45.3438,87.8,62,75,8.05
267,Vung Tau,VN,2021-04-21 07:26:31,10.346,107.0843,85.53,71,54,12.33
268,Longkou,CN,2021-04-21 07:26:32,37.6508,120.3286,52.7,64,100,14.09
269,Altay,CN,2021-04-21 07:26:32,47.8667,88.1167,41.14,85,100,4.63
270,Balint,RO,2021-04-21 07:26:33,45.8125,21.8536,50.0,100,96,8.05
271,Oranjestad,AW,2021-04-21 07:23:27,12.524,-70.027,80.01,73,20,18.41
272,Bani Walid,LY,2021-04-21 07:24:21,31.7566,13.9942,63.05,37,5,12.71
273,Barranca,PE,2021-04-21 07:26:33,-10.75,-77.7667,65.52,89,23,5.91
274,Kulhudhuffushi,MV,2021-04-21 07:26:34,6.6221,73.07,84.31,70,100,6.08
275,Alihe,CN,2021-04-21 07:26:34,50.5667,123.7167,74.55,19,11,10.94
276,Coquimbo,CL,2021-04-21 07:24:11,-29.9533,-71.3436,57.2,77,20,5.75
277,Taltal,CL,2021-04-21 07:26:35,-25.4,-70.4833,61.68,77,2,5.01
278,Tautira,PF,2021-04-21 07:26:35,-17.7333,-149.15,77.0,83,75,4.61
279,Azle,US,2021-04-21 07:26:36,32.8951,-97.5459,39.0,81,1,4.61
280,Beidao,CN,2021-04-21 07:26:36,34.5686,105.8933,70.83,46,100,8.7
281,Hidalgo,MX,2021-04-21 07:24:38,20.5,-99.0,57.33,85,46,4.43
282,Jiangyou,CN,2021-04-21 07:26:37,31.7667,104.7167,70.99,63,92,5.95
283,Peleduy,RU,2021-04-21 07:26:37,59.6289,112.7406,27.12,76,100,10.49
284,Xifeng,CN,2021-04-21 07:26:37,42.7372,124.7222,78.62,16,45,16.62
285,Baturaja,ID,2021-04-21 07:26:38,-4.1333,104.1667,90.28,52,73,4.52
286,Ponta Delgada,PT,2021-04-21 07:26:38,37.7333,-25.6667,60.8,94,40,14.97
287,Westlock,CA,2021-04-21 07:26:39,54.1502,-113.8688,30.2,80,0,4.61
288,Los Llanos De Aridane,ES,2021-04-21 07:26:39,28.6585,-17.9182,68.0,68,75,8.05
289,Kavieng,PG,2021-04-21 07:26:39,-2.5744,150.7967,83.43,73,99,10.51
290,Luderitz,NA,2021-04-21 07:26:40,-26.6481,15.1594,73.29,52,100,8.7
291,Karatau,KZ,2021-04-21 07:26:40,43.1667,70.4667,36.86,98,100,10.69
292,Tual,ID,2021-04-21 07:26:41,-5.6667,132.75,83.73,72,96,9.24
